,ratings,comment,rating_star,like_count,orderid
0,"Chegou antes do prazo, vale pelo valor . Bunitinho !",2,,111713302191455,12415779217
1,"Chegou antes do prazo,  veio desmontado e sem bateria, vou testar e volto para dizer como foi. Pelas avaliações parece ser bom",5,27.0,110816432187906,12415779217
2,"Tirando o fato de que não é um iwo 13 e sim um tal de um x8 e que o correios do nosso país é um lixo. Jogaram futebol com minha encomenda. O relógio é ótimo pelo valor q paguei, 34 reais com cupom e frete grátis. Segue imagens do absurdo dos correios.",5,64.0,110871572198702,12415779217
3,"Amei o produto, a pulseira veio com um pequeno defeito.... Mas tirando isso amei!! Super prático 🥰🥰",5,17.0,110334895158565,12415779217
4,"Chegou em 18 dias.Bem embalado. Funciona perfeitamente, porém possui resolução mto baixa. Esse modelo deve ser versão antiga, pois a tela é bem pequena c borda grande. Não possui calculadora. O menu tem poucas funções. Não é o msm modelo do anúncio. Não compraria novamente pois quero p revenda.😊",5,102.0,109164903824993,12415779217
5,"Relogio ótimo, super indico, esculto música faço ligação! Top",5,45.0,109640882887305,12415779217
6,"O pedido chegou bem embalado, em ótimas condições.",5,31.0,109782298116418,12415779217
7,"Veio bem embalado , chegou rápido porém eu queria que chegasse notificação do email e não chega só do Instagram e se você usar outro whatsapp tipo o GB e etc não chega  mais o produto é maravilhoso e dura a bateria",5,33.0,108516018858129,12415779217
8,"Pedido chegou tudo certinho . Veio igual o que comprei para o meu noivo . Indico e recomendo . Demorou um pouco , mas valeu muito a pena . Só a pulseira que coloquei e de outro modelo. Vendedor atencioso. Toop 👍🏻👏🏻👏🏻",5,83.0,108430712191695,12415779217
9,Amei o relógio super recomendo funciona certinho e chegou antes do dia esperado,5,78.0,107956007829007,12415779217
10,Chegou meu tão esperado bem embalado antes do prazo adorei muito lindo do jeito que esperava é o segundo que compro veio tudo certinho recomendo muito obrigada,5,48.0,108329702155073,12415779217
11,"Ótimo relógio tem muitas funções que eu queria, e ainda dura bastante tempo com bateria e foi muito barato comparado com os outros.",5,75.0,105494904877567,12415779217
12,"Simplesmente, apaixonada!! Otima qualidade. muito Lindo, amei! Porém veio muito amassado e produto de qualquer maneira, tirando isso tudo ok.",5,135.0,107716055184029,12415779217
13,"O produto é excelente, veio tudo certinho. Meu noivo compro o Pink para mim,mas é totalmente diferente deste Preto que comprei para ele. A configuração e outra.Única reclamação é referente a transportadora que entregou.Eu não estava em casa e eles jogaram.fico na chuva 2 dias,depois que fui ver.",5,90.0,107229381884308,12415779217
14,"Ameiiiiii
Veio muito bem embalado funcionando perfeitamente adorei indico o vendedor.",5,66.0,105807899195614,12415779217
15,"Eu amei o botão veio um pouco folgado, mais o design e mto lindo eu amei.",5,53.0,106708102836889,12415779217
16,"Pulseira um pouco grande.
Não molhei... No to confiando muito na resistência a água...
Não tem sensores que identifica o movimento de olhar as horas, tem que apertar o botão... 
Não e ruim, mas tem melhores no mercado!",5,37.0,105687027137528,12415779217
17,"Veio tudo certinho, chegou muito rápido. Já testei o relógio  e carregador ok , só tive dificuldade pra colocar a pulseira que acabou danificando quando coloquei. Tive dificuldade pra tá colocando foto mais fui a o YouTube e consegui. Pelo preço recomendo.",5,89.0,104273626162304,12415779217
18,"Muito bom porém a tirinha é muito difícil de colocar vem com carregador também. 
Eu recomendo mais pensa melhor por conta da pulseira e para configurar tbm é meio difícil.",4,39.0,105387030800008,12415779217
19,"Gostei do relógio, só não gostei do carregador e a pulseira quase não entrar. Recomendo 👌🏼",5,64.0,106682379186820,12415779217
20,"O relógio é bom, veio super rápido porém a caixa veio amassada, e foi mal embalado fora isso está muito bom até agora, então recomendo.",4,36.0,103691817819280,12415779217
21,Amei meus relógios ⏰  chegaram com segunda e estado de perfeição....,5,12.0,106335777882261,12415779217
22,"Muito bom pelo custo benefício! 
Vale a pena, e não deixou a desejar. 
Satisfeito!",5,35.0,104931749875834,12415779217
23,Muuuuito bom super recomendo !!! Além de lindo veio tudo certinho,5,38.0,107196378893342,12415779217
24,"Chegou no prazo, porém demorou muito nos correios de Curitiba.
Não é o iwo 13, e sim o x8.
Veio com o botão mole.
Manchas na tela
Pulseira de baixa qualidade, tem que forçar para encaixar.
Dentro da média!!!",5,114.0,104695226115234,12415779217
