,ratings,comment,rating_star,like_count,orderid
0,"O produto chegou antes do prazo, mas ele é um perigo para a saúde de qualquer pessoa. Principalmente para quem tem problemas de pressão, ou cardíaco. A leitura dele não é real. Ele faz as mesmas leituras/resultados estando ou não no pulso.
Não recomendo este aparelho.",5,32,109949432107682,5342393433
1,"Chegou tudo certinho , adorei. Não vem carregar ( ei achei que vinha , não tinha lido o manual kkkkk por isso avisei  mas é só vocês utilizarem alguma cabeça de carregador USB.",5,24,110901384109965,5342393433
2,"Produto de ótima qualidade, o vendedor postou o produto rápido, comprarei novamente",5,17,109975462109736,5342393433
3,"Olá , gostei muito do relógio entrega super rápida, só enviaram o modelo antigo , porém os dois produtos estão funcionando certinho .",5,18,109479745867729,5342393433
4,"Produto bom, só não dá pra colocar foto e por ser claro mancha facil",5,6,108733941150606,5342393433
5,E  bom só que um dos que eu pedi veio com a versão diferente e com menos opções,5,21,106591157875477,5342393433
6,"Muito bom 👍🏼 aprovado!
Podem comprar sem medo, muito bom pelo custo.",5,33,108908949843577,5342393433
7,Chegou minha encomenda super rápido antes do prazo mas não està funcionando ele não Liga,5,29,109887740103586,5342393433
8,"Chegou super rápido, mas aparentemente ele parece ser bom, ainda estou configurando",5,18,109475048177567,5342393433
9,"Demorou muito p chegar mas foi causa dos correios, Gostei bastante do relógio mn mãe amou o dela, ele é bem levinho n dói o braço, as configurações são b fáceis, o tempo de recarga no primeiro uso descarregou rápido mas agr demora mt mais, a contagem de passos e batimentos funciona msm, recomendo.👏",5,57,106252834176337,5342393433
10,"Muito bom, estava em dúvida se o marcador de pressão realmente marcava certo, mas marca, o monitoramento do sono também dá certo. Carrega em 1 hora e dura 5 dias (mas não deixei o Bluetooth ligado)",5,33,106939437803284,5342393433
11,"Chegou bem antes do previsto, já estou usando há 3/4 semanas e posso garantir a vocês que é a melhor compra da Shopee que eu fiz até agora. O relógio é bom e superou minhas expectativas. A tela está com marca por que coloquei uma película de Gel na tela para não arranhar. Enfim, comprem sem medo!",5,70,105314161195492,5342393433
12,"A embalagem veio amassada, porém chegou bem rápido",5,10,109356375860238,5342393433
13,"Gostei
Só e bem simples e muito difícil tirar as pulseira",5,22,108760441823684,5342393433
14,"perfeitoo!
para configurar deixei o vídeo que assisti e o aplicativo está ao lado, você pode colocar até papel de parede com a sua foto no relógio. ele não vem com carregador, mas a fonte do motorola/turbo carrega e dura muito tempo a bateria…",5,66,108232816842590,5342393433
15,Gostei mt só deu trabalho pra configuração no celular mais já consegui TD serto recomendo chegou bem antes do prazo😍😍,5,27,107322823879092,5342393433
16,"Chegou antes do esperado!
Sincronizou muito bem com meu celular (iPhone)
A pulseira tem um encaixe bem apertado
E carregou bem rápido.",5,28,108166609835251,5342393433
17,"Comprei 2 relógios, um pra mim e o outro para dar de presente. Amamos ❤!!! Relógio simples, lindo e funcional.",5,52,107015094143219,5342393433
18,"Os relógios chegaram antes do prazo, vieram bem embalados e em excelente estado.

Recomendo!!",5,23,107781338801396,5342393433
19,"Chegou bem rápido, comprei no dia 6 e chegou dia 17 (estava previsto pro dia 13 do outro mês). Fica lindo e justo até em braços magros. Você consegue mexer no relógio através de um aplicativo, é super fácil, o QR Code vem nas instruções. Não vem carregador, você tem que ter um tubo pra conectá-lo.",5,49,108224552145916,5342393433
20,"Chegou certinho antes da data prevista tive que carregar para configurar com o meu celular, tive que escanear o QR Code que veio no manual e baixar o aplicativo que pede deu tudo certinho já está funcionando perfeitamente amei.Comprei um branco e um preto meu marido também gostou muito.",5,47,105926891102130,5342393433
21,"promoter o que diz, eh muito bom, vale o valor pago!",5,47,106008885859655,5342393433
22,Super recomendo. Recebi antes do prazo e pelo valor vale muito a pena. Top!,5,27,106256950898344,5342393433
23,"Cheguei tudo certinho, quando tirei da caixa fiquei com medo pq estava ligando quando pesquisei ele veio descarregado, muito bom gostei, recomendo",5,31,104969494166771,5342393433
24,"Adorei os relógios eu e minha filha configuramos super rápido o App é super fácil de mexer super indico para quem busca um ótimo relógio e com ótimas funcionalidades.
Entrega antes do prazo o qual me foi passado.
Obrigado em breve comprarei mais com toda certeza.
Apaixonada estou🥰🥰🥰😍😘💓",5,81,103773024176369,5342393433
25,Muito vom excelente adorei chegou igual o pedido perfeito,5,38,105762879184410,5342393433
26,"Ótimo relógio,
Fácil configuração,
Entrega dentro do prazo.
Recomendo!",5,52,104023270157527,5342393433
27,"Muito top! Só veio com a caixa um pouco amassada,creio que foi da viagem,mas não danificou nada o produto,veio muito bem embalado.No momento estou fazendo o carregamento para depois começar usar.",5,40,102201221861796,5342393433
28,"App compatível HryFine, 1* carga deixei 3 horas.
Chegou bem embalado ótimo estado e funcionamento. Versão atualizada. Tempo de importação 1 mês da china até Brasil ( Barueri SP). Gostei nota 10. Ótima qualidade e serviço prestado por todos envolvidos.",5,165,102843508188930,5342393433
29,Ótimo produto superou minhas expectativas só veio com a tela riscada o que deixou a desejar,5,30,102782010884356,5342393433
30,"Ele é muito bom, para quem ficar confuso sobre onde carrega, o carregador dele é na pulseira mesmo, você conecta na caixinha do seu carregador. No manual veio um QR Code para você baixar o App e configurar por lá. Ele é compatível com IOS e Android. Podem comprar, não vão se arrepender.",5,144,102814622859098,5342393433
31,"Atende o esperado, chegou antes do previsto. A bateria dura até 3 dias e carrega em entrada USB.",5,80,102826188892797,5342393433
32,Amei 💓💓 tá funcionando perfeitamente até já testei ao descansar após almoço programei pra despertar e ele vibra na hora certinha.,5,61,102075300148600,5342393433
33,"Tem um lado certo de colocar no carregador, tava tentando e não tinha conseguido. Mas deu tudo certo. Gostei muito.",5,50,102821147110793,5342393433
34,"Gostei do produto, só deixou a desejar as pulseira, é de um material bem inferior, quase plástico que provavelmente resseca ao sol. Mas o touch funciona bem, tem todas as funcionalidades que promete, pelo preço vale a compra "" é um custo benefício "" equivalente .",4,62,102825240837107,5342393433
35,"Amei! Podem confiar! Estou com ele até agora e não mostrou nenhum defeito, bateria dura muito, nenhum arranhão, chegou em ótimas condições e o melhor, ele chegou antes do prazo.",5,63,100451182800720,5342393433
36,"Amei,superou minhas expectativas. Produto excelente..",5,26,101749954809211,5342393433
37,"Adorei, lindo, já estou usando!!!!
Como no anuncio!!
Bom vendedor!!!",5,70,102819363877935,5342393433
38,"Comprei 3 relógios inferior 1 não funcionou 
A entrega foi rápida mais infeliz aconteceu isso 
Vou colocar aqui a foto das fotos dos relógios que funciona e tmbm do que  veio com defeito",5,54,101416057833399,5342393433
39,Adorei! Muito igual ao original. Agora é aprender a configurar. Chegou em 2 semanas no máximo.,5,48,102210527165333,5342393433
40,Chegou Tudo Certinho E Bem Antes Do Prazo Parabéns Ao Vendedor 👏👏👏,5,31,101047039804361,5342393433
41,"Serve pro que eu preciso que é despertador. O sensor não presta, mas eu também não faço atividade física então não importa. Arranha fácil e é resistente a água. Chegou dentro do pra na região do DF.",5,38,100287813136710,5342393433
