,ratings,comment,rating_star,like_count,orderid
0,"Gostei muito do relógio, a cor veio exatamente  certinha. Chegou muito rápido em 13 dias. Super recomendo. Consegui configurar rápido através do aplicativo. Simplesmente amamos",5,11.0,108776015803669,11111862289
1,"Fiz o teste e estão funcionando perfeitamente, vieram bem embalados e chegou rápido.
Antes de usar tem que carregar por pelo menos uma hora e meia a duas horas.

NÃO CARREGAR EM CARREGADOR TURBO, POIS CAUSA SOBRECARGA E QUEIMA O RELÓGIO

CARREGAR COM CARREGADOR COMUM DE 5V",5,30.0,108956404131305,11111862289
2,"❌❌❌❌O relógio veio descarregado coloquei pra carregar tudo certo, mais aí não deu nem 2 dias que chegou e ele parou de ligar SUPER DECEPCIONADA",1,19.0,108759990851243,11111862289
3,"Fotos aleatórias pra ganhar pontos, chegou tudo certinho",5,7.0,107476315838216,11111862289
4,"Muito frágil mas funciona coloquei pra garregar durou 3 dias a bateria, gostei pena que a correia suja muito rápido mas o produto é bom",5,26.0,107741646111807,11111862289
5,"Chegou porem nao funionou!!!
Coloquei pra carregar e nada 😡",1,11.0,108725608806214,11111862289
6,Relógio muito bom lindo e. A bateria dura bastante,5,4.0,108487785837400,11111862289
7,O relógio é lindo a qualidade é excelente e chegou com 15 dias amei ❤️,5,7.0,108151382122494,11111862289
8,Igual a o do anúncio chegou antes do prazo veio descarregado mais carreguei tá funcionando vamos como vai ser  pois não é pra mim só liguei pra testar mais e bom 👍,5,14.0,108741023877754,11111862289
9,"Chegou tudo ok, um pouco antes do previsto, ainda estou estando.",5,6.0,108742515104695,11111862289
10,Gostei bastante ótimo produto e o preço bem bacana ☺️,5,28.0,105201320180350,11111862289
11,"Relógio é muito bom, bateria dura até que bastante, e a entrega foi super rápida gostei bastante.
Só não gostei muito do aplicativo que tem que baixar no celular pois ele consome bastante bateria do celular, mas isso é irrelevante.",5,27.0,105424693826395,11111862289
12,"Chegou direitinho, sem nenhum problema, e a entrega chegou rápida.",4,11.0,106505404812722,11111862289
13,"Eu ameiiii!a entrega foi rápida pela distância,não tive nenhum problema,ele é fácil de mexer, conectei ele no app ""fitpro""!!Em geral estou gostando muito.",5,45.0,105027523848541,11111862289
14,"Veio bem embalado, porém ao ligar foi utilizado durante 7 minutos e simplesmente desligou... Não carrega e não liga... Iria dar de presente para namorada; não vou dar de presente algo que não funciona... Triste demais.",2,24.0,107311520192840,11111862289
15,"Compra boa, chegou mais rápido do que eu esperava, infelizmente um deles veio com problema e o outro funcionando bem. um pouco difícil de mexer porem pelos comentários da para ver como funciona. as cores vieram certas e veio o Qr code com app para conectar com os relógios e pelo preço ate que vale",3,29.0,105405632809699,11111862289
16,"Chegou antes do prazo, bem embalado, chegou descarregado, porém é só retirar a pulseira e carregar em uma entrada USB, muito bom e recomendo",5,25.0,105229131828878,11111862289
17,Cumpre com o prometido e é super simples de configurar. *Foto do app de configuração logo acima.,5,61.0,105451873889620,11111862289
18,Chegou no último dia do prazo. Faltando 5 dias pra um mês. É um pouco complicado pra mexer. Parece descarregar fácil. Bonito. E hoje vai ser o primeiro dia que uso. Então tenho que ver se é bom. Preciso baixar um app pra usar. Se n não configura a hora e a data.,4,64.0,105500762892191,11111862289
19,"Gostei muito do produto,super recomendo pelo valor vale muito a pena.",5,8.0,103953298146669,11111862289
20,"Ele é simplesmente maravilhoso 😍estava tudo bem,até quê.
Só ligou nessa hora e apagou,não liga nem carrega mais,nem sinal de vida.o vendedor é péssimo,não responde as mensagens e não embalou o produto bem,a caixa chegou um pouco amassada.decepcionada 😢",2,66.0,103399611112184,11111862289
21,"Funciona bem e a bateria dura uns 3 dias, chegou rápido recomendo",5,47.0,105128200177141,11111862289
22,to amando esse relógio pena que eu só  comprei 1 e  é para presente kkkkkk unica coisa que realmente deixou a desejar é que a bateria não dura muito mas fora isso é de ótima qualidade podem comprar,5,57.0,105422206196228,11111862289
23,Gostei e lindo ainda n consegui arrumar a hora mas e lindo comprei para a família toda comprei 4,5,40.0,106628104141323,11111862289
24,"Vieram muito bem embalados, tudo certinho,ameiii 💖😍👌",5,6.0,102558216845006,11111862289
25,"Pela distância chegou bem rápido e antes da data estimada, veio na cor certa, é bem lindo, é um pouco complicado de mexer mas é só ver vídeos, baixar o app que dá agora aprender rapidinho e configurar certinho, até então tudo certo, estou amando, recomendo muito (minha neta que comprou pra ela)",5,54.0,105503576805185,11111862289
26,Muito frágil mas tem tudo que diz o anúncio e pelo preço tbem ...,3,16.0,104156109105815,11111862289
27,Muito bom produtos chegou antes do prazo bem embalados recomendo a loja,5,24.0,103803820179044,11111862289
28,"Amei, chegou rápido pra vista que é de fora do Brasil.
Descarrega um pouco rápido, e um pouco complicado de conecta ao telefone.",5,34.0,102777032150404,11111862289
29,"Comprei 3: as cores vieram certas,todos estão funcionando, as caixas vieram amassadas e um pouco mal embaladas, mas pelo preço achei ótimo.",5,20.0,104098057805250,11111862289
30,Muito bonito o relógio chegou hoje gostei comprei pra minha esposa 😍 vou compra um pra mim depois de umas avaliações recomendo sim chegou antes do tempo,5,20.0,104711210855776,11111862289
31,"Chegou bem embalado e conforme solicitados nas cores e modelo. Agora colocar p carregar. Mto bom, preço e qualidade.",5,9.0,104726564112184,11111862289
32,"É um produto básico mas um ótimo produto pra essa fachetaria de preço! Tem diversas utilidades, por exemplo ver mensagem do Whatsapp. Gostei bastante do produto e achei muito top a velocidade da entrega. Super recomendo!",5,27.0,104631563182774,11111862289
33,"Amei ele veio tudo certo,demorou um pouco pra chegar e só não para muito tempo carregando mais amei",5,48.0,100651640880614,11111862289
34,"Produto ótimo, envio foi rápido, comprarei novamente.",5,47.0,101040818176195,11111862289
35,"Maravilhoso, tem todas as características do anúncio, funciona muito bem, carrega rápido, perfeito, amei. Vou comprar todas as cores das pulseiras.",5,10.0,97282117227410,11111862289
36,"Produto bom, a pulseira é razoável mas acredito que dê pra trocar ainda não testamos a bateria comprei na promoção relâmpago acho que valeu a pena.",5,19.0,96058154318482,11111862289
37,"Produto muito bonito, a caixa veio um pouco amassada mas por causa do transporte mesmo, deixei carregando, espero que funcione normal.",5,16.0,92027825554536,11111862289
38,"Muito lindo e prático, compensou, prazo ótimo pois é internacional, e chegou antes da data proposta! Amei comprarei mais vezes! nao vem carregador, mas qualquer plug de carregador q vc tenha em casa cerve. Comprei 2 cores..",5,25.0,93896462005209,11111862289
39,"Chegou hj , parece ser bom tem bastante funções 
Está carregando aparentemente o produto é bom.",5,10.0,92919252146967,11111862289
40,"Bom dia quero dizer que ,gostei muito do produto,chegou antes do prazo e podem comprar é confiável...",5,12.0,89558244013526,11111862289
41,Mais bah gurizada muiito do bom esse rêlogio gostei bastante,5,10.0,92029109070053,11111862289
42,Demorou muito pra chega mais o que importa que veio 🙌🏼🥰☺️,5,15.0,90340243335482,11111862289
43,"Gostei do relógio mais não veio do jeito que eu pensava,ele não veio muito embalado,a embalagem é muito frágil mas veio tudo normal,eu já usei ele já tem um tempo e continua do jeito que ele veio,pra quem quer ele pra ver só o horário como eu ele é ótimo,e pelo preço tbm,paguei nele 29 reais,curte p",4,1.0,108432608861184,11111862289
44,"Fora isso que citei no vídeo acima O relógio não tenho do que reclamar funciona todas as funções vale a pena
O aplicativo para configurar é o Fit pro e no YouTube tem um rapaz ensinando como configurar super rápido e prático",5,3.0,110603021186324,11111862289
45,Ainda não consegui conectar nem.ligar ..e meio frágil.. mas compatível com o valor,5,,108740486129741,11111862289
46,"Entrega rápida, bem embalado e conforme anúncio. Fora que o preço foi excelente",5,,108732401181183,11111862289
47,Ótimo valor e qualidade cumpre super com o combinado,5,,107721722163866,11111862289
48,"Chegaram todos 10 certinhos as cores e tudo ,to testando alguns ate gora tudo normal ,muito obrigado ❤🙏",5,0.0,109393876812887,11111862289
49,"Chegou antes do prazo, não acompanha carregador. Pode ser carregado em carregador de celular. Comprei 3. Tô aprendendo a mexer ainda",4,,106759393838051,11111862289
50,"A embalagem chegou amassada, mas sei que a culpa é dos correios.
Produto parece bom, porém estou tendo dificuldade pra configurar. Ele está carregando, então não sei dizer a qualidade da bateria.
Mas vale muito a pena pelo preço e é muito lindo!",5,1.0,105815546877043,11111862289
51,"Lindo, minha filha amou, já carregamos a bateria dele, falta mexer nas opções q ele tem, a pulseira veio embalada na posição invertida, então aos poucos ele deve se moldar na posição correta, falo p q possa verificar q outras não venham, pq dá um trabalhinho p abotoar. Mais veio bem embalado, indico",5,0.0,108762927106128,11111862289
52,"O relógio chegou dentro do previsto e funcionando perfeitamente...
O vendedor está de parabéns!!!",5,1.0,107542648161996,11111862289
53,Tudo certinho! Ótima qualidade e veio bem embalado.,5,2.0,107811413123796,11111862289
