,ratings,comment,rating_star,like_count,orderid
0,"Amei o relógio funcionando perfeitamente, são lindos, só o branco que veio com as bordas prateado,  mas é lindo.",5,30,106336425893919,6293532367
1,"Adorei o relógio, pelo preço super compensa! Ele não tem uma medição tão exata de passos e de batimentos, mas vê a hora e conseguimos conectar ao app e configurar alarme. Essa capa que está em cima foi a película q eu comprei kkk ficou meio feio, mas vai proteger",5,27,102798185151853,6293532367
2,"Ameiiiii,so ainda nao conseguir aprender .
Queria saber como faço e atendo as ligações. 
Mais vou descobrir",5,16,106365235137421,6293532367
3,"Chegaram bons funcionando,so que deixei msg que queria 2 e um pink e eles mandaram todos pretos!",5,14,105424716875264,6293532367
4,"Produto de qualidade boa! Entrega feita bem antes do prazo!
Me surpreendeu.
Só tive dificuldade com o manual para saber como configurar, mas nada muito difícil. Traduzi o manual e foi tranquilo e também tem o QR code que te direciona ao app.",5,31,106345922150441,6293532367
5,"Muito bom.. super gostei do produto. Super indico..só demorou um pouquinho pq veio de outro país.. mais fora isso, tudo ótimo",5,36,106247569843235,6293532367
6,"Recebi bem antes da data , os 2 relógios funcionando bem . Veio bem embalado , as cores vieram certas . Eu e meu esposo gostamos muito.",5,24,106968777890910,6293532367
7,"Lindo reloginho comprei pra minha irmã, no começo eu não sabia como carregar mas é só conectar elr no carregador normal de celular e baixar um app chamado FitPro, ai liga o Bluetooth e é só conectar 😁 tem videos no youtube explicando também",5,40,105488356827350,6293532367
8,"Amei os relógios tem uma qualidade boa por seu custo, funcionando perfeitamente vídeo para ganhar moedas",5,32,101224819877344,6293532367
9,Comprei ele na promoção entt valeu a pena ele é levinho ainda não usei e chegou antes da data prevista,5,39,105362799154945,6293532367
10,"Chegou certinho amei, irei pedir outras vezes veio tudo certinho",5,43,102793740892935,6293532367
11,"Ele é lindo, leve e chegou antes do prazo. Não se assuste se ele não ligar de primeira, às vezes ele vem super descarregado e não liga enquanto não tiver bastante carga, o relógio não vem com carregador tem que encaixar essa parte da lateral no adaptador para carregar. Boas compras. 👋😁🤭",5,116,102815059852490,6293532367
12,"Demorou um pouco, mas como veio da china já era de se esperar.
Os 3 estão funcionando e conecta bem no app Fitpro.",5,9,100812013143080,6293532367
13,"Muito bom, só achei estranho o jeito de fechar a pulseira por dentro, mas produto muito bom, chegou em 15 dias",5,19,100797808117581,6293532367
14,"Até agora estão funcionando perfeitamente. Achei muito prático o carregamento, o app também é bem fácil de usar.
No iOS, consigo mudar a foto de fundo, no Android não consegui.
O layout não é o mesmo do vídeo, mas gostei.
A bateria dura três dias.",5,144,99928239184494,6293532367
15,"Chegou bem embalado, fácil de usar, porém decepcionou pois não chegaram as cores corretas, pedi 2 pretos, 2 rosas e 1 branco, vieram 3 brancos.",2,32,101075415807406,6293532367
16,"Chegou certinho ! Bem embalado . Por vim da china achei que veio rápido, antes do prazo. Pelo preço super compensa.",5,13,101076061867610,6293532367
17,Amei muito bem embalado nas caixas funcionando perfeitamente todos eles vendedor Muito bom muito feliz com a minha compra muito fácil de carregar é só colocar no carregador do celular que carrega rapidinho é claro que primeiro tem que baixar o aplicativo no celular e funciona certinho,5,75,100021568173024,6293532367
18,"Chegou em perfeito estado, e antes do prazo! 
Super indico! Para carregar é só adaptar na entrada do carregador USB direto na tomada",5,49,102259336177435,6293532367
