,ratings,comment,rating_star,like_count,orderid
0,"As caixas vieram amassadas, ainda não testei o produto, aparentemente pelo valor compensa. Vendedor não teve cuidado ao enviar o produto.",1,22.0,108340950866892,5421063798
1,"Chegou rápido! A caixa veio amassada e veio descarregado, mas tudo funcionando normalmente.",5,28.0,108059668855323,5421063798
2,"Eu gostei. Tá descarregado, mas é compreensível pelo tempo que levou pra chegar. (Passou mais de bastante do prazo, mas culpa só dos correios. Fazia mais de um mês que estava aqui na minha cidade). Mas o relógio em si é exatamente do jeito que eu esperava",5,62.0,101665042830464,5421063798
3,"Chegou tudo certinho os dois relógios o vendedor enviou tudo nos conformes e chegou no tempo previsto, eu recomendo os produtos que são de qualidade pelo preso que foi oferecido .",5,36.0,104385689826298,5421063798
4,"Funciona perfeitamente, a bateria dura bastante. Recomendo",5,66.0,102741645106342,5421063798
5,"Produto de boa qualidade pelo preço bem acessível, parabéns ao vendedor. Chegou bem antes do prazo, recomendo.👏👏👏👏👏",5,48.0,102181852882265,5421063798
6,Relógio lindo várias funções e está funcionando e chegou muito rápido o problema é não saber o aplicativo q ele funciona e os q baixei não foi compatível então não consigo acertar a hora e as funções pra funcionarem. Galera q souber qual aplicativo ele funciona poderia deixar aqui pra quem comprou,5,81.0,101067166886940,5421063798
7,Produto bom ótimo preço chegou antes do prazo podem comprar q vale a pena,5,53.0,99193294817803,5421063798
8,"Muito legal, só a embalagem que veio danificada, mas o relógio perfeito, ansiosa para testar no esporte.",5,53.0,101077581809145,5421063798
9,"A princípio achei que não ia vim tudo certo, acabei me enganando. Tudo certinho, veio com um risco  na parte traseira mas isso é o de menos. Esta funcionando normal.",5,51.0,94570118055161,5421063798
10,"Chegou bem antes do prazo, bem embalado e com todas as peças certinhas.bom preço.",5,57.0,95617069202635,5421063798
11,"Perfeito, comprei para meu esposo e ele amou.
Muito satisfeita.
Super recomendo maravilhoso 😍",5,81.0,93062741149013,5421063798
12,Muito bom !!!! A entrega e envio foram super rápidas. Recomendo !!,5,89.0,95604433378607,5421063798
13,"Chegou bem antes do prazo previsto, veio bem embalado, acredito que ira suprir oque quero quando desejei compra - lo",5,38.0,92123235436728,5421063798
14,"Gostei bastante principalmente da pulseira. O aplicativo é o FitPro, fácil de usar, fica bem no braço, porém um deles não está funcionando a tela, só que o valor e o transtorno para devolução é pior.",5,3.0,110935584191048,5421063798
15,"Simplesmente perfeito,eu comprei e dei de presente e foi uma das melhores experiências... Muito obrigada simplesmente amei🥰🥰😊😊",5,26.0,101533955819699,5421063798
16,Chegou direitinho. Funcionando perfeitamente. Adorei! Eu recomendo.,5,12.0,101062158852199,5421063798
17,Achei top de mais chegou muito rápido por ser um produto importado top de mais vamos ver a duração da bateria agora,5,9.0,101141037864057,5421063798
18,"Gostei bastante, muito bonito e elegante, dei de presente ao meu primo ele adorou e conecta certo ao smartphone dele",5,7.0,97517485630240,5421063798
19,Amei!! Chegou tudo direitinho!! Vale a pena! Já comprei 03 unidades!! 😉😘,5,25.0,82250623304224,5421063798
20,"Eu amei,já testei e veio tudo certinho! O app que conecta ele é o fitpro nele vc faz o cadastro e,ele conecta pelo bluetooth. Recomendo!",5,,110937569112643,5421063798
21,Muito satisfeita com a mercadoria chegou bem rapidinho a qualidade também me agradou muito muito satisfeita mesmo,5,,111033796198477,5421063798
22,,5,,108756440143036,5421063798
23,"Olá! Passando para informar que tudo veio como o solicitado,bem embalado e bem antes do previsto. O vídeo foi junto com os óculos porque chegou tudo junto. Indico e voltarei comprar mais produtos com vcs. Obrigado.",5,1.0,107131435178736,5421063798
24,"Ótimo produto, design bonito.",5,,106844890161160,5421063798
25,Chegaram funcionando perfeitamente são lindos tomara que durmam recomendo😃😘😘😘😘😘,5,4.0,108722633814806,5421063798
26,Mui bom valeu pela compra 😃😃😃,5,1.0,108785691816615,5421063798
