,ratings,comment,rating_star,like_count,orderid
0,Chegou perfeito funcionando tudo amei estou aprendendo a mexer. Veio o carregador amei meu relógio. Eu indico muito.,5,4.0,110061272102855,6591450521
1,,5,7.0,110946342187582,6591450521
2,"Os relógios são bons , mas a forma como vem embalado é péssima, não dá o mínimo de segurança para que o produto chegue intacto. E o correio ainda não ajuda. Aí dá nisso, encomenda chega quebrada. Vou comprar só um e pedir o reembolso devolvendo o quebrado pra não ter que devolver todos.",5,14.0,108705953158559,6591450521
3,,1,15.0,109275527843605,6591450521
4,Ceu azul valparaiso Tem como vc me enviar uma foto do cadeado de chão,5,,110424700196465,6591450521
5,"Igual ao anúncio com todas as funções descritas, só não consegui fazer chamadas. O som pra músicas é baixo, mas não tem como esperar um som estéreo em um relógio. Bateria dura menos de 24h em uso padrão. Display fora de casa é de baixa luminosidade, mas muito melhor que outros que já tive da China.",5,8.0,110401561134953,6591450521
6,"Chegou direitinho, é muito bonito. Não é difícil de mexer, não sei ainda como colocar foto na tela mais aos poucos vou aprendendo. A embalagem é muito frágil mais veio sem quebrado e funcionando direito. Meu marido adorou.",5,2.0,110358270169273,6591450521
7,No anúncio está X8 mas não é. Fora isso e bom mas deveria vir em uma caixa,5,5.0,109707482106325,6591450521
8,Parabens...fora a embalagem que é muito fragil chegou em perfeito estado.,5,1.0,110332735165890,6591450521
9,"Produtos chegaram perfeitos, em breve comprarei mais.",5,5.0,109831081113472,6591450521
10,"Os relógios são bons, mas a sorte foi grande não ter chegado quebrado. Cara , não custa nada embalar melhor. O que custa embalar com plástico bolha?!?!",5,2.0,108776185815799,6591450521
11,"O produto chegou tudo ok funcionando perfeitamente, recomendo.",5,1.0,109393877874576,6591450521
12,"Gostei. Chegou certinho e é um otimo relógio. De fato vem em uma embalagem pouco segura mas o meu não chegou quebrado, graças a Deus.",5,4.0,110076872101209,6591450521
13,"chegou rapido ate,tudo certinho funcionando",5,17.0,109172832840230,6591450521
14,,5,,110501496118355,6591450521
15,eu ameeeeiii… demorou para chegar mais eu amei vale muito apena !!! não veio quebrado,5,7.0,110173201118453,6591450521
16,Ameiiiiíiiiii perfeito lindo tudo ok,5,,112228887187323,6591450521
17,,5,,111046110132140,6591450521
18,Não é produto anúnciado.,5,0.0,111061712141658,6591450521
19,"Veio em um saquinho de plástico, Chegou antes do prazo, é muito bonito, gostei bastante.Pelo custo benefício vale a pena.",5,,110862869142694,6591450521
20,Produto não está funcionando quero troca o produto,5,,110940796184231,6591450521
21,"Pelo valor, está bom.
Justo.",3,,111707099152886,6591450521
22,,5,,109827229114726,6591450521
23,"Podem comprar sem medo, chegou antes do prazo, veio em saquinhos e não veio em caixa mas veio bem embalado e tudo funcionando ",5,,110166064101473,6591450521
24,"Sensacional, amei!!! Já comprei uns três mas de outros vendedores, eles são lindos.",5,1.0,110326281121722,6591450521
25,,5,,111276727133830,6591450521
26,EXTREMAMENTE MAL EMBALADO. Aparentemente está funcionando.,3,,111354366103196,6591450521
27,"Chegou antes da data prevista. Funcionando tudo. Só a pulseira que tem um material ruim, o pino soltou logo d primeira. Mas como tenho várias aqui, não me atrapalhou em nada. Recomendo.",5,2.0,110079388109270,6591450521
28,Muito bom não postei as fotos por comprei  para uma pessoa,5,2.0,109640347111939,6591450521
29,Show de bola muito bom 👍👍 produto ótimo vou comprar outro para meu pai ele vai amar,5,,109536981165490,6591450521
30,"Ele é perfeito, amei e de boa qualidade e entrega muito rápida!",5,,110863100100315,6591450521
31,Excelente. Gostei muito. E chegou antes do prazo. Parabéns.,5,,109969228110028,6591450521
